filename,date,i,score,secvalue,slope
IEF20101027.txt,2010-10-27,0,0.4444444444444444,30.4,
IEF20101027.txt,2010-10-27,1,0.35135135135135137,30.4,
IEF20101027.txt,2010-10-27,2,0.14285714285714285,30.4,
IEF20101027.txt,2010-10-27,3,0.47058823529411764,30.4,
IEF20101027.txt,2010-10-27,4,0.38095238095238093,30.4,
IEF20101027.txt,2010-10-27,5,0.024390243902439025,30.4,
IEF20101027.txt,2010-10-27,6,0.40425531914893614,30.4,
IEF20101027.txt,2010-10-27,7,0.1111111111111111,30.4,
IEF20101027.txt,2010-10-27,8,0.3333333333333333,30.4,
IEF20101027.txt,2010-10-27,9,0.23809523809523808,30.4,
IEF20101027.txt,2010-10-27,10,0.28205128205128205,30.4,
IEF20101027.txt,2010-10-27,11,0.2857142857142857,30.4,
IEF20101027.txt,2010-10-27,12,0.21052631578947367,30.4,
IEF20101027.txt,2010-10-27,13,0.38095238095238093,30.4,
IEF20101027.txt,2010-10-27,14,0.3333333333333333,30.4,
IEF20101027.txt,2010-10-27,15,0.1,30.4,
IEF20101027.txt,2010-10-27,16,0.3142857142857143,30.4,
IEF20101027.txt,2010-10-27,17,0.024390243902439025,30.4,
IEF20101027.txt,2010-10-27,18,0.4482758620689655,30.4,
IEF20101027.txt,2010-10-27,19,0.35,30.4,
IEF20101027.txt,2010-10-27,20,0.3617021276595745,30.4,
IEF20101027.txt,2010-10-27,21,0.3170731707317073,30.4,
IEF20101027.txt,2010-10-27,22,0.25,30.4,
IEF20101027.txt,2010-10-27,23,0.2608695652173913,30.4,
IEF20101027.txt,2010-10-27,24,0.17073170731707318,30.4,
IEF20101027.txt,2010-10-27,25,0.2631578947368421,30.4,
IEF20101027.txt,2010-10-27,26,0.1111111111111111,30.4,
IEF20101027.txt,2010-10-27,27,0.14285714285714285,30.4,
IEF20101027.txt,2010-10-27,28,0.4,30.4,
IEF20101027.txt,2010-10-27,29,0.47368421052631576,30.4,
IEF20101027.txt,2010-10-27,30,0.24444444444444444,30.4,
IEF20101027.txt,2010-10-27,31,0.15,30.4,
IEF20101027.txt,2010-10-27,32,0.07317073170731707,30.4,
IEF20101027.txt,2010-10-27,33,0.3333333333333333,30.4,
IEF20101027.txt,2010-10-27,34,0.23404255319148937,30.4,
IEF20101027.txt,2010-10-27,35,0.0,30.4,
IEF20101027.txt,2010-10-27,36,0.07317073170731707,30.4,
IEF20101027.txt,2010-10-27,37,0.23809523809523808,30.4,
IEF20101027.txt,2010-10-27,38,0.37142857142857144,30.4,
IEF20101027.txt,2010-10-27,39,0.5625,30.4,
IEF20101027.txt,2010-10-27,40,0.2777777777777778,30.4,
IEF20101027.txt,2010-10-27,41,0.3888888888888889,30.4,
IEF20101027.txt,2010-10-27,42,0.35,30.4,
IEF20101027.txt,2010-10-27,43,0.35,30.4,
IEF20101027.txt,2010-10-27,44,0.11764705882352941,30.4,
IEF20101027.txt,2010-10-27,45,0.15789473684210525,30.4,
IEF20101027.txt,2010-10-27,46,0.08108108108108109,30.4,
IEF20101027.txt,2010-10-27,47,0.4358974358974359,30.4,
IEF20101027.txt,2010-10-27,48,0.17391304347826086,30.4,
IEF20101027.txt,2010-10-27,49,0.2222222222222222,30.4,
IEF20101027.txt,2010-10-27,50,0.40540540540540543,30.4,
IEF20101027.txt,2010-10-27,51,0.3333333333333333,30.4,
IEF20101027.txt,2010-10-27,52,0.3333333333333333,30.4,
IEF20101027.txt,2010-10-27,53,0.10526315789473684,30.4,
IEF20101027.txt,2010-10-27,54,0.38461538461538464,30.4,
IEF20101027.txt,2010-10-27,55,0.06382978723404255,30.4,
IEF20101027.txt,2010-10-27,56,0.4444444444444444,30.4,
IEF20101027.txt,2010-10-27,57,0.11627906976744186,30.4,
IEF20101027.txt,2010-10-27,58,0.17647058823529413,30.4,
IEF20101027.txt,2010-10-27,59,0.2857142857142857,30.4,
IEF20101027.txt,2010-10-27,60,0.2413793103448276,30.4,
IEF20101027.txt,2010-10-27,61,0.38461538461538464,30.4,
IEF20101027.txt,2010-10-27,62,0.3617021276595745,30.4,
IEF20101027.txt,2010-10-27,63,0.2765957446808511,30.4,
IEF20101027.txt,2010-10-27,64,0.2682926829268293,30.4,
